,MAPE,< 3s
count,2750.0,2531.0
mean,62.96914449490858,41.80339057241859
std,97.25171691949186,31.706120519568156
min,0.014354948956310775,0.014354948956310775
25%,17.662473279164878,16.457011829269142
50%,39.71270884123757,35.60683603075483
75%,69.16582461070482,60.57417456201341
max,1324.3635981318398,147.40099904924338
