,gamma,delta,sigma,k,a,b,pim
value,0.008594223861893792,-2.1757289362057293,0.46651373095110543,0.2068217160523455,0.6908545675515088,5.227604543989761,0.06318057159376875
std,0.0021659014353914816,0.11486291393011841,0.012651812279690752,0.038904642177325546,0.03345544018427054,0.19241840006647484,0.09980873075985348
