,gamma (%),delta,sigma (%),k (%),a,b,pi (%)
value,18.391479236043086,-0.906263358913761,50.05874009664798,40.16224801470094,0.6091219027858858,8.134122818078353,8.436626637395053
sd,0.8569458898286438,0.11116349847431449,2.3967792167962703,0.8200188920643727,0.02319244628495624,0.26546217273336453,1.3148214533740836
