,return_usd
9,0.06297479916138839
32,3.038437294067475
33,1.0172576096252777
34,1.664323745918371
35,0.8483544448623279
36,0.549680885534664
54,1.1986989218232278
58,3.342939540143611
59,2.2153373244297656
62,1.0052535369222504
63,0.32721523678710734
64,-0.16640883833390552
78,0.9480219300356086
80,4.859282806785288
81,3.8476828646118975
82,1.7274164845275441
88,1.1680450633834465
117,1.4497854589010883
118,2.7740813577050027
119,2.2232496351603697
120,2.220496126493526
121,0.0543934838303317
122,0.0543934838303317
123,0.054204054013512186
125,0.11627078166538649
129,2.1263251275786863
130,1.4331779470187411
131,0.2631331995303682
132,0.29936357722561885
133,0.9401244391255523
139,1.0923259040254016
140,0.497618796278709
142,1.2347444629926896
176,1.653990539483159
177,1.0227026945677595
185,2.3071247730360778
186,0.9555114450274365
210,0.40513171920692675
216,0.6418538861723947
218,3.718278049348266
219,2.6196633331038606
220,2.102938317591234
221,1.531173622437975
222,1.5267951609074564
240,1.4641808997769619
254,1.0147233046592823
263,1.2179940456881901
264,0.6815805441884799
288,2.8706224625111467
289,1.8019902887933914
290,1.013526329598434
291,1.0160998670936454
294,4.602529702979114
295,3.7552311741623727
296,2.8485075537974662
297,2.1704812523607084
299,2.454447442303292
300,1.8657376710572107
301,1.6222751612355923
302,1.5768320726851857
303,1.8570789353486976
314,2.633082372198119
315,1.9912248931876877
316,0.710299239377511
317,0.5032570542660384
318,3.461059359798637
319,2.323230502304576
320,2.154699744921218
321,1.9078967068570971
322,1.33500106673234
338,0.597626978702533
339,0.12760134459372188
340,0.24271085680673848
351,0.027225986253591527
362,0.41124835286389166
372,1.844794579107197
384,1.781927964648099
392,-0.7139623202738653
393,-0.7763114218207141
399,4.132320911732392
400,2.4865136911383856
401,2.4865136911383856
402,2.255325756509785
403,1.4238791214471618
404,1.289645786064086
414,1.3962694441419687
415,0.9544339416521946
416,0.47094069006707573
417,0.36554548410692006
447,1.0701785200055622
448,0.8233417622177719
449,0.16254392918528018
450,0.16254392918528018
458,1.6891359453294938
459,1.1883615808117176
460,0.9942142726218487
482,1.1223613668389514
491,1.8992227724775836
492,1.3141268128178283
496,0.9555114450274365
513,0.7910449188364053
514,0.6021825451858515
520,1.0075198682647708
521,-0.3035404883862389
522,-0.7582191773036602
534,2.0292791864867716
535,1.7050389590234893
536,1.351469969965711
537,0.17286027300444168
538,0.15760186050348976
539,3.8632738404182367
540,2.3969402714751915
541,1.395303655277478
542,0.8356878673420555
543,0.4710655651921131
561,0.9957301807005806
562,-0.052346480372209236
563,0.6830968447064438
584,1.894977691813848
591,-0.019896631714456645
592,0.9522368586476242
595,2.244955980157409
596,1.7749523509116738
603,2.0395826249179483
604,1.1021061779223655
607,3.0684249589474315
608,2.691134602325765
609,2.280032688523534
610,1.8365416119999483
619,0.56360780920496
625,1.7784546851489764
626,1.3337634591065965
627,1.3337634591065965
628,1.8037703818941906
629,0.9536250515208451
644,0.25239162567319495
645,-0.03884478382356719
646,-0.1033625129951532
647,0.48384489543421627
675,1.7931418466373057
676,1.1000113095818171
693,2.1589571874036992
694,2.041557934202203
695,1.7547669384982112
704,2.3481987889544027
705,2.530517161040053
706,2.530517161040053
717,0.3285120669400362
723,0.02293497128249599
724,-0.36860294337559807
725,0.26658610915704656
726,-0.20346348054738259
727,-0.27246510664692064
728,1.326278928709904
745,0.27025611862840254
763,2.696180028531723
764,0.7431746741595934
765,0.3476947423579518
766,0.2908021997880245
773,2.2004083925024327
774,1.4463305745639499
793,1.6739701835521403
815,1.7059473728139074
816,0.32915985189808983
826,0.7528301827211191
830,2.2023005615916946
841,2.6666308059515047
908,1.175912778357898
909,0.8574320498677486
915,2.4374131445928517
916,2.05959591345913
917,1.6461554953692632
925,0.6667005305449618
927,1.9618397395996556
928,1.6741576671478748
929,1.22436349397367
930,1.22436349397367
933,0.1685606415439175
934,-0.2783920255446882
935,0.8454819268632247
936,0.8269347903580445
937,0.7761087012742925
938,0.2918483813211969
965,3.7228460036772093
966,0.6830968447064438
967,3.4376610926470375
968,2.7465142177764994
969,2.5237346576375184
970,1.5401735755323187
974,3.02881882654178
975,2.188038065809895
976,0.5185556698279011
977,0.4835366435283198
978,0.8558610910476916
979,1.4386733159647982
1004,1.066949608159268
1005,1.2957677219203325
1008,2.299339832829016
1019,1.1029694491095188
1020,0.897515576547821
1021,0.7491020927043918
1031,1.9427336808462383
1032,1.0840737815469867
1033,0.7154466880547123
1034,0.8977600952547202
1035,0.7407461593592243
1045,2.2608147322500027
1046,1.2725095718132704
1083,1.745628266884366
1084,1.2966704836115384
1085,1.5809355519613881
1086,1.143840561271181
1087,0.22689650018351695
1088,0.0036931718376176067
1089,-0.15665381004537687
1090,-0.92735167923358
1091,-1.41346002919266
1092,-1.168283961917429
1093,-1.0097775749676188
1094,-0.4536579507096495
1095,-0.6360109891891361
1096,2.9629507840296117
1097,2.2823823856765264
1104,2.4340430876137376
1105,1.5368672195992652
1127,0.7070993941779493
1132,0.8456536522747143
1133,-0.09530017985432451
1147,2.844060186143802
1148,1.0224509277025455
1149,0.8542876604324224
1150,1.7242476433086147
1151,0.9902844117824815
1152,0.29713723122253616
1181,1.460079066742903
1182,1.2478939913838643
1183,1.0842766899007434
1184,0.7340971668888995
1190,3.209031528393189
1191,2.186399530697386
1192,1.9922483299774587
1213,2.173364395956608
1214,1.2570679743600826
1222,2.747270914255491
1233,1.2849535334582147
1243,4.654577302660326
1244,2.8503943140499772
1249,-0.8257647051747843
1250,-1.0954173977715906
1251,-1.1631508098056809
1257,1.9958968759694913
1258,0.2817897467469431
1259,0.2115566820622896
1260,0.023521195041345866
1267,1.2996465543942184
1268,0.6729444732424258
1276,2.7595984629827868
1280,2.779725693364553
1281,1.3232214321439295
1282,0.7718659352713361
1283,0.5315689849038904
1284,-0.1755445725149309
1288,2.046982914005677
1289,2.055827409819998
1303,0.22314355131420976
1308,1.4549104949834677
1309,0.5060944493900893
1310,1.6833944445499298
1315,3.3054864549028284
1316,2.5635483765459086
1317,2.09865576060364
1318,0.8599319982047708
1319,2.488757558844042
1320,1.807042092759212
1321,1.6813491879010847
1322,1.016389428410277
1333,2.866192902199006
1334,0.1253101909654466
1335,0.14833379450569342
1336,0.2224232919897266
1337,0.1225715523881807
1347,2.6028452289024284
1348,0.3014370376841166
1349,-0.763784260159386
1360,1.0224509277025455
1364,1.5688867145784522
1366,3.863158338483451
1367,3.691306506438205
1368,0.4574881361753163
1369,0.5639492420882634
1370,0.11315009793265578
1371,2.013181539643924
1372,1.414954701613102
1373,0.6378987063294668
1374,0.2511477477238072
1375,1.1585150814011527
1376,1.0490718431079735
1377,0.6959432678619465
1395,3.172974284604647
1396,1.5854525496835892
1406,0.20481663462132554
1407,0.15315017949367474
1408,0.014100124378781626
1409,0.01380428097639708
1410,0.6941966296955167
1411,-0.14306238284183775
1412,-0.3662924730336923
1413,1.5778646825949942
