,uuid,org_uuid,announced_on,money_raised_usd,num_investors,investment_type,lead_investor_rank,post_money_valuation_usd,prev_rounds,country_code,amount_delta,holding_time
226660,03245067-a1a1-4d5d-ad9c-878bfeadc7cc,edfa0214-f0fa-98ec-3a59-fe77919956cd,2926540800,400000000.0,1.0,series_e,4160.0,2000000000.0,6.0,USA,75000000.0,106.0
247930,aaf878a0-324a-46fc-9158-0ac29e1e008b,edfa0214-f0fa-98ec-3a59-fe77919956cd,2941574400,300000000.0,14.0,series_e,13442.0,3800000000.0,7.0,USA,-100000000.0,174.0
346634,cd6093c5-c134-48b8-a730-86e4f795bfcd,ee03397c-bec5-15a8-bd89-444e62dc70b3,2991686400,68000000.0,1.0,series_c,207964.0,500000000.0,3.0,USA,38000000.0,689.0
480020,45ca7afc-9865-4916-81ed-1fee9854ef18,ee03397c-bec5-15a8-bd89-444e62dc70b3,3038256000,200000000.0,15.0,series_d,1719.0,2200000000.0,4.0,USA,132000000.0,539.0
434818,ffb26fdc-d4e9-4405-a650-798b9509a064,ee116086-e8fe-829a-09fa-dd6c139d5436,3023654400,25000000.0,9.0,series_a,1329.0,125000000.0,2.0,USA,23000000.0,136.0
466483,f18d34fc-6aac-41c3-a086-c71dd0fcfeda,ee116086-e8fe-829a-09fa-dd6c139d5436,3035232000,15000000.0,2.0,series_a,1329.0,300000000.0,3.0,USA,-10000000.0,134.0
102328,cbae9932-c781-9c6e-7f17-47555c8d586d,ee140784-86f3-2b36-25c0-e04f28d065c6,2829859200,135000000.0,10.0,series_e,142645.0,1000000000.0,5.0,USA,85000000.0,487.0
81381,9d1422a4-d0cb-de7e-99a6-46b130fae7e5,ee1f5d16-d952-c546-709d-101f605456b4,2345673600,10000000.0,1.0,series_a,149000.0,45000000.0,0.0,USA,10000000.0,486.0
186974,13d55d44-b195-4508-9356-ead1505af46a,ee21fea5-5d9f-440e-b389-2f72d8d78a6e,2870035200,126774.0,1.0,seed,1818631.0,824033.0,0.0,GBR,126774.0,468.0
225441,fec568d5-9e59-443a-b3c2-fd34595ba2a8,ee2cfbd3-6120-4098-bf14-8de281158fc1,2908137600,61577.0,1.0,seed,6912.0,451075.0,0.0,ITA,61577.0,116.0
388647,a1b70853-25bf-407a-b2ce-585d6853d8d1,ee2fa947-57e7-4db4-8e4a-11dfb3484e51,3005683200,735000000.0,5.0,private_equity,98464.0,7350000000.0,0.0,USA,735000000.0,7394.0
425373,330b6b61-536a-4320-8aae-be994e9a19b6,ee46a19e-a648-4276-ac55-4e5497e0bf7b,2987452800,1000000.0,1.0,seed,22428.0,2000000.0,0.0,other,1000000.0,0.0
483664,cbda5557-bd3e-4db0-8770-bc240d4fec35,ee64eacf-0857-4331-a4e0-cc997ee77120,3041452800,30000000.0,2.0,series_e,96344.0,500000000.0,3.0,USA,-35000000.0,455.0
269397,254afa65-4050-4705-8678-3cceffe2c4b0,ee6d9086-7636-5efb-0201-dcebda545e9d,2954620800,3383789.0,1.0,series_b,68990.0,28198244.0,1.0,ISR,1133789.0,551.0
119020,fce89414-02ed-aede-92a7-6c6558caad31,ee809ddb-8650-cc41-30d5-d5720b177010,2832969600,229786.0,2.0,pre_seed,180698.0,911484.0,0.0,GBR,229786.0,82.0
162154,e8605653-421e-05a6-82f1-be87062dd84e,ee8553ee-422f-5a06-59d0-96039b83ecbd,2882908800,231000000.0,1.0,private_equity,7.0,500000000.0,3.0,USA,216000000.0,911.0
195669,faba593e-d4fb-4bc1-b39c-550989828049,ee931ae9-acde-4c1c-bd21-cc3057321875,2877033600,100000.0,1.0,seed,2491034.0,1100000.0,0.0,USA,100000.0,57.0
161794,d82c8a73-0d5d-2a3d-e836-cc9128ee603d,ee9af94b-a560-116d-dc17-44a515c95f68,2608761600,453122.0,1.0,series_a,14756.0,2265610.0,0.0,other,453122.0,1249.0
407948,81000da0-238a-44da-ba13-89e33ac29e89,ee9f7447-2db3-4d07-86ea-a85ecf86aa8f,3011644800,190000.0,1.0,pre_seed,170.0,1580000.0,0.0,AUS,190000.0,158.0
267924,01f8ee8a-8583-45d0-a5b8-b5f9654df23b,eea1c9ed-1903-4995-a65a-05a58db74580,2950473600,150000.0,3.0,pre_seed,1592599.0,2900000.0,0.0,USA,150000.0,122.0
427207,737a2c3d-00f7-46b9-94b0-ecff0e8c4a5d,eea7cabb-44ee-4087-984a-54175e76a227,3006633600,1784408.0,13.0,seed,6483.0,3284407.0,0.0,FRA,1784408.0,466.0
78752,7f833aaa-854c-d47f-11fb-b8193ecfb3f1,eeacbc1a-04f3-48a8-dae7-3fc0aa8e9485,2801865600,355000000.0,6.0,series_d,2429.0,5000000000.0,2.0,USA,338000000.0,927.0
91947,4056ed9a-f8cd-4f2b-cb74-e1ea1a1bf382,eeacbc1a-04f3-48a8-dae7-3fc0aa8e9485,2815776000,433934331.0,4.0,series_e,73922.0,10000934331.0,3.0,USA,78934331.0,161.0
138892,f42a9a3a-e1b1-4755-f42f-3f1f4d5e7ce1,eeacbc1a-04f3-48a8-dae7-3fc0aa8e9485,2867443200,690000000.0,3.0,other,81046.0,16900000000.0,4.0,USA,256065669.0,598.0
174230,cbc9d4ca-10a3-27ef-9e02-1c8c71b9a058,eeacbc1a-04f3-48a8-dae7-3fc0aa8e9485,2892153600,4400000000.0,5.0,other,4160.0,20000000000.0,5.0,USA,3710000000.0,286.0
33390,5341f7f8-ea3c-32a1-00f8-3dafd3563df0,eeb06c12-d01f-dde4-a322-bbc3fdad343e,2760048000,60000000.0,3.0,series_e,4377.0,660000000.0,2.0,USA,5000000.0,358.0
49234,9899395e-8552-0d1b-30bd-389a7900e99e,eeb06c12-d01f-dde4-a322-bbc3fdad343e,2777587200,100000000.0,1.0,series_e,90473.0,700000000.0,3.0,USA,40000000.0,203.0
80554,5ea75870-b3d3-6435-a7d8-2d10a98b2e7d,eebf1f39-e0a7-fb3f-41bf-558e59b71bdb,2809728000,5000000.0,1.0,seed,334679.0,25000000.0,0.0,USA,5000000.0,1474.0
357053,c8f1c325-ff2e-4b08-9052-d9be55b90547,eec456e4-c319-4db1-8819-cb65404c99ad,2934835200,160000.0,2.0,pre_seed,1003.0,3160000.0,1.0,other,25000.0,61.0
277203,bf61139f-920c-4836-83e9-6bccdcd06745,eed626d2-5a4a-457c-8110-e143b7681844,2958595200,543020.0,1.0,seed,690532.0,5430201.0,0.0,GBR,543020.0,275.0
253325,dd8577a0-fcef-4143-abe3-b148619d0d79,eede791a-af46-86ba-6497-c3e1fdbbaa6d,2944598400,2900000.0,1.0,other,47321.0,290000000.0,3.0,FRA,-72100000.0,461.0
407186,1f1c9902-dbc7-4e82-92f4-e23ae7157423,eede791a-af46-86ba-6497-c3e1fdbbaa6d,3011817600,380000000.0,33.0,series_c,49152.0,1500000000.0,4.0,FRA,377100000.0,778.0
208807,d4b4e12d-2572-4574-a402-b8854e756110,eeec1a17-c367-a1b7-bc4a-58e9ca278411,2899065600,3400000.0,4.0,seed,120764.0,12400000.0,1.0,USA,1400000.0,425.0
159914,abf560b5-1cdc-7271-76fb-2e759f7c1077,eef51413-a105-3a8d-0a19-6f95a8d9f749,2869257600,43029.0,1.0,pre_seed,112026.0,286856.0,0.0,BRA,43029.0,1067.0
59,f148ced9-f388-4913-ad87-a88db33ce9b0,eef9eab2-4c50-f0a3-12b8-ce721fa2cc81,2532211200,80000000.0,2.0,series_b,54702.0,160000000.0,1.0,USA,76500000.0,149.0
62049,d8898afe-5e8e-a04b-9e4e-a0464b7b2776,eefcef54-822a-c8c6-6a6c-482543cb7098,2789078400,12000000.0,4.0,series_a,26453.0,45290000.0,0.0,USA,12000000.0,504.0
109984,918f58df-237b-bb6d-9865-9cb665db2fa3,eefcef54-822a-c8c6-6a6c-482543cb7098,2824243200,2000000.0,1.0,series_b,29467.0,92000000.0,2.0,USA,-18000000.0,132.0
291954,c67030c6-fe9e-4a07-92f7-5cf5fe28805d,eefcef54-822a-c8c6-6a6c-482543cb7098,2967580800,40000000.0,1.0,series_c,1928.0,300000000.0,4.0,USA,13000000.0,274.0
387784,c3fc2676-005b-4262-8512-6cc12791a5e1,eefcef54-822a-c8c6-6a6c-482543cb7098,3005596800,125000000.0,4.0,series_d,71148.0,2100000000.0,5.0,USA,85000000.0,440.0
453924,586c98c4-868d-42ac-ba54-a95559d92248,eefcef54-822a-c8c6-6a6c-482543cb7098,3031171200,200000000.0,10.0,series_e,5420.0,5200000000.0,6.0,USA,75000000.0,296.0
92854,8a3dd1c4-7e35-5364-e784-3f252faf4eca,ef0d913c-90f0-29a0-984c-3f793a95a0b5,2821996800,1000218.0,7.0,series_a,120403.0,3000652.0,0.0,FRA,1000218.0,2059.0
308357,9ff7c77d-0999-4dae-a8ec-e43b59bc5989,ef1b0c51-4cc2-40ce-9fc7-ebaaa841db06,2948659200,498548.0,1.0,pre_seed,691051.0,997096.0,0.0,IND,498548.0,0.0
