company_num,group_num,seg_num,round_date,raised_usd,postvalue_usd,exit_date,exit_type,exit_value,return_usd
b9cee2ca-3d1f-4da7-98fc-36108e68b972,Tech,Financial Services,2019-10-01,106080.0,530398.0,,4,,
b9f8fae4-6173-4b37-8619-1f27c729da1f,Tech,Artificial Intelligence,2018-07-02,2910412.0,10809268.0,,4,,
baa791a3-6a4d-4113-8750-6e3cf417813a,Tech,Data and Analytics,2019-10-01,437420.0,2624518.0,,4,,
bab1df3b-9f41-14e2-d397-f16ef67f2903,Other,Information Technology,2021-09-13,159000000.0,2560000000.0,,4,,
bac6a0b2-8804-42c9-8516-7c195fc53f97,Tech,Financial Services,2018-05-14,600000.0,5600000.0,,4,,
bb202c81-9df1-4d69-ad92-edb502747598,Tech,Financial Services,2020-09-29,3000000.0,61000000.0,,4,,
bb202c81-9df1-4d69-ad92-edb502747598,Tech,Financial Services,2021-12-31,4666666.0,36666666.0,,4,,
bb534aee-58b5-4fa1-95ba-afff8921fe4a,Tech,Apps,2020-07-30,60000.0,810000.0,,4,,
bb5c3c01-c2e5-a34e-9ee2-db165bb2827d,Health,Food and Beverage,2022-01-28,5000000.0,100000000.0,,4,,
bbd319d8-7f18-4a12-8d90-067309dfcc4b,Tech,Internet Services,2022-04-14,10100000.0,131000000.0,,4,,
bbd54b2a-cb19-4fd3-9ed7-6e1456f033a4,Tech,Apps,2021-06-11,300000.0,15300000.0,,4,,
bc234206-cf46-4c11-964b-2d11f2ddb6a4,Retail,Administrative Services,2018-02-15,2000000.0,7000000.0,,4,,
bc331967-5db6-d233-f19b-c25dd51b97b5,Other,Commerce and Shopping,2016-10-26,79815.0,526775.0,,4,,
bc44cd1f-7dac-42da-8918-3a72e48163fb,Tech,Consumer Electronics,2018-06-04,234089703.0,468179406.0,,4,,
bc44cd1f-7dac-42da-8918-3a72e48163fb,Tech,Consumer Electronics,2021-04-30,15445208.0,1000000000.0,,4,,
bc8968b4-0493-ff43-0159-73a60268f7c6,Tech,Apps,2017-06-10,100000.0,200000.0,,4,,
bceb5238-74d3-4577-b158-4df63b571fb3,Tech,Financial Services,2021-11-16,50000000.0,2000000000.0,,4,,
bd4a06a1-b3a9-4c74-a4e0-79cbe71984d3,Tech,Health Care,2021-06-30,50000000.0,550000000.0,,4,,
bdc328d8-df12-49ba-aacb-a9816a576fd8,Tech,Financial Services,2018-03-01,3000000.0,6000000.0,,4,,
bde08310-1bce-502f-4925-da65c081a552,Other,Commerce and Shopping,2017-06-28,5689480.0,56894795.0,,4,,
be1c1114-4675-484e-a77d-c0422153a5e1,Tech,Agriculture and Farming,2021-07-12,60000000.0,500000000.0,,4,,
be52bf4d-e75b-fc05-f40c-e97ed34b522c,Tech,Artificial Intelligence,2019-08-09,60000000.0,260000000.0,,4,,
be82caf7-8a84-4d7c-85d9-6b6420c491e3,Tech,Consumer Electronics,2020-09-22,9523402.0,104077174.0,,4,,
be91f968-d1f3-bbe9-b18e-f0f43b5fc8f7,Other,Information Technology,2017-09-21,27000000.0,100000000.0,,4,,
bea65c3c-73a7-9d59-6689-dfdc70dd07a5,Tech,Advertising,2021-08-17,65000000.0,365000000.0,,4,,
bead3227-c458-4b80-8657-c3da99a415f5,Tech,Artificial Intelligence,2020-05-05,120000.0,3120000.0,,4,,
bf20af96-fa85-8404-20c9-377221f88eaa,Tech,Health Care,2019-06-18,1308560.0,4123832.0,,4,,
bf8f441c-223f-4406-b1a6-fc64c98862ca,Tech,Artificial Intelligence,2020-06-09,20000000.0,200000000.0,,4,,
bf9a4a6e-fff4-d63d-f0f1-de03895380d8,Tech,Health Care,2020-07-01,3000000.0,10500000.0,,4,,
bf9bf7f3-21db-42a5-ab1f-6db60942d326,Tech,Artificial Intelligence,2021-01-15,900000.0,5800000.0,,4,,
bf9bf7f3-21db-42a5-ab1f-6db60942d326,Tech,Artificial Intelligence,2021-08-23,2200000.0,14200000.0,,4,,
bfdda524-1cd2-4b03-3560-7b8501e6d6e1,Tech,Financial Services,2009-03-18,60000000.0,150000000.0,,4,,
c00c3787-c59b-b19e-4437-7c45d2c5e4ea,Tech,Financial Services,2017-02-01,1000000.0,2000000.0,,4,,
c01cf7e0-6de5-4a6f-ab83-2a27ebd104d8,Tech,Artificial Intelligence,2020-05-01,50000.0,1050000.0,,4,,
c0429dd3-d142-4a50-bcf2-9cc291f37d3a,Other,Information Technology,2020-01-24,58621.0,1058621.0,,4,,
c0b9ebe6-c686-4305-a7db-5bf2347ccf24,Tech,Apps,2019-01-02,50000.0,5050000.0,,4,,
c0d148f7-c810-7771-322b-5117c40d9409,Tech,Financial Services,2022-01-26,100000000.0,1500000000.0,,4,,
c0e1869d-32ea-48ff-b8fb-1ad4d8740cac,Tech,Data and Analytics,2020-11-01,583448.0,5819520.0,,4,,
c10970fe-ba70-4a76-9404-20d1f8d78909,Tech,Artificial Intelligence,2018-12-28,50000.0,100000.0,,4,,
c10970fe-ba70-4a76-9404-20d1f8d78909,Tech,Artificial Intelligence,2020-01-28,50000.0,100000.0,,4,,
c12b5c2c-1d18-498d-b370-a80c732c5ba4,Other,Information Technology,2019-11-01,647082.0,26530347.0,,4,,
c135e055-cf1e-477b-8522-7d0f761d20a0,Other,Information Technology,2022-01-24,120000.0,3000000.0,,4,,
c1457c48-1bfd-7dde-8617-d3154074bb42,Retail,Administrative Services,2021-01-27,24000000.0,24100000.0,,4,,
c17103fa-11d8-4e17-8523-6202fc18b7d2,Other,Information Technology,2021-08-20,400000.0,3400000.0,,4,,
c1940a35-4781-4d05-b8d0-c32e9e5b217d,Other,Energy,2019-07-30,1394778.0,4184332.0,,4,,
c1a1d91a-c9ad-45ff-b077-3c4dc355586a,Retail,Administrative Services,2020-09-22,545000.0,3045000.0,,4,,
c1c0c380-b4fe-4942-a99d-d61d9e88c2d0,Tech,Data and Analytics,2017-12-01,72000.0,572000.0,,4,,
c1d9b282-cf7b-77f7-2ccf-c0d655ddd608,Tech,Community and Lifestyle,2012-11-22,79726.0,837120.0,,4,,
c1d9b282-cf7b-77f7-2ccf-c0d655ddd608,Tech,Community and Lifestyle,2013-09-03,155569.0,1114915.0,,4,,
c223ce00-f47e-443f-ab70-3cae422e286b,Tech,Financial Services,2021-12-15,59051797.0,299051796.0,,4,,
c23342f0-4b75-3eaa-7906-4a5626351a02,Tech,Artificial Intelligence,2020-12-01,225500000.0,1500000000.0,,4,,
c23342f0-4b75-3eaa-7906-4a5626351a02,Tech,Artificial Intelligence,2021-07-01,400000000.0,4000000000.0,,4,,
c2581260-bee7-4aae-bcb2-34f13ee1c9aa,Tech,Health Care,2018-10-15,579154.0,1737462.0,,4,,
c33daf12-de25-6a87-27b4-10542caa671b,Other,Information Technology,2010-07-27,10748.0,94019.0,,4,,
c3501644-ba6a-48ce-a5fa-be70cbe6478c,Other,Information Technology,2021-10-15,200000.0,1200000.0,,4,,
c3b3db32-9d58-8ce6-c878-f0eb22b8cead,Tech,Hardware,2017-05-16,55467.0,832011.0,,4,,
c3d94e0e-f064-8d1f-6365-1e82e0f3c76e,Other,Information Technology,2014-05-05,67090.0,335450.0,,4,,
c3fe52ed-ff44-434b-8ce8-7a21d11113de,Tech,Financial Services,2021-07-27,185000000.0,1350000000.0,,4,,
